put a sinlge comand here for expeirmentaiton,Kp,Kd,4,4,4
back_lbz,20,0.1,0,0,0
back_mby,4000,2,0.2,-0.2,-0.2
back_ubx,2000,1,0,0,0
neck_ay,20,1,-2,-2,-2
l_leg_uhz,500,1,0.25,0.25,0.25
l_leg_mhx,600,1,0.25,0.25,0.25
l_leg_lhy,2000,10,-3,-3,-3
l_leg_kny,1000,10,3,3,3
l_leg_uay,900,8,-2,-2,-2
l_leg_lax,300,2,-1,-1,-1
r_leg_uhz,500,1,-0.25,-0.25,-0.25
r_leg_mhx,100,1,-0.25,-0.25,-0.25
r_leg_lhy,2000,10,-3,-3,-3
r_leg_kny,1000,10,3,3,3
r_leg_uay,900,8,-2,-2,-2
r_leg_lax,300,2,1,1,1
l_arm_usy,2000,3,-1.4,-1.4,0
l_arm_shx,1000,10,-1.4,-1.4,-1.4
l_arm_ely,800,3,0,0,0
l_arm_elx,800,3,0,0,0
l_arm_uwy,50,0.1,0,0,0
l_arm_mwx,100,0.2,0,0,0
r_arm_usy,2000,3,-1.4,-1.4,0
r_arm_shx,1000,10,1.4,1.4,1.4
r_arm_ely,800,3,0,0,0
r_arm_elx,800,3,0,0,0
r_arm_uwy,50,0.1,0,0,0
r_arm_mwx,100,0.2,0,0,0
