joint,Kp,Kd,0.3
back_lbz,2000,1,0
back_mby,4000,2,0.1
back_ubx,2000,1,0
neck_ay,20,1,1
l_leg_uhz,5,0.01,0.025
l_leg_mhx,2000,1,0.1
l_leg_lhy,2000,10,-1.5
l_leg_kny,1000,10,2.25
l_leg_uay,900,8,-0.85
l_leg_lax,300,2,-0.1
r_leg_uhz,5,0.01,-0.025
r_leg_mhx,2000,1,-0.1
r_leg_lhy,2000,10,-1.5
r_leg_kny,1000,10,2.25
r_leg_uay,900,8,-0.85
r_leg_lax,300,2,0.1
l_arm_usy,2000,3,-2
l_arm_shx,1000,10,-1
l_arm_ely,200,3,3
l_arm_elx,200,3,2
l_arm_uwy,50,0.1,0
l_arm_mwx,100,0.2,0
r_arm_usy,2000,3,-2
r_arm_shx,1000,10,1
r_arm_ely,200,3,3
r_arm_elx,200,3,-2
r_arm_uwy,50,0.1,0
r_arm_mwx,100,0.2,0
