"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,-0.005,0.475,0.845,-0.005
0,0,0,-0.005,0.545,0.835,-0.005
0,0,0,-0.005,0.555,0.835,-0.005
0,0,0,-0.005,0.485,0.845,-0.005
0,0,0,-0.005,0.495,0.845,-0.005
0,0,0,-0.005,0.505,0.845,-0.005
0,0,0,-0.005,0.515,0.845,-0.005
0,0,0,-0.005,0.525,0.845,-0.005
0,0,0,-0.005,0.535,0.845,-0.005
0,0,0,-0.005,0.565,0.835,-0.005
0,0,0,-0.005,0.575,0.835,-0.005
0,0,0,-0.005,0.585,0.835,-0.005
0,0,0,-0.005,0.595,0.835,-0.005
0,0,0,-0.005,0.605,0.835,-0.005
0,0,0,-0.005,0.615,0.835,-0.005
0,0,0,-0.005,0.625,0.835,-0.005
0,0,0,-0.005,0.635,0.835,-0.005
0,0,0,-0.005,0.645,0.835,-0.005
0,0,0,-0.005,0.655,0.835,-0.005
0,0,0,-0.005,0.675,0.825,-0.005
0,0,0,-0.005,0.665,0.835,-0.005
0,0,0,-0.005,0.685,0.825,-0.005
0,0,0,-0.005,0.695,0.825,-0.005
0,0,0,-0.005,0.705,0.825,-0.005
0,0,0,-0.005,0.715,0.825,-0.005
0,0,0,-0.005,0.725,0.825,-0.005
0,0,0,-0.005,0.735,0.825,-0.005
0,0,0,-0.005,0.745,0.825,-0.005
0,0,0,-0.005,0.755,0.825,-0.005
0,0,0,-0.005,0.795,0.815,-0.005
0,0,0,-0.005,0.765,0.825,-0.005
0,0,0,-0.005,0.775,0.825,-0.005
0,0,0,-0.005,0.785,0.825,-0.005
0,0,0,-0.005,0.795,0.825,-0.005
0,0,0,0.005,0.585,-0.995,0.005
0,0,0,0.005,0.595,-0.995,0.005
0,0,0,0.005,0.605,-0.995,0.005
0,0,0,0.005,0.615,-0.995,0.005
0,0,0,0.005,0.625,-0.995,0.005
0,0,0,0.005,0.635,-0.995,0.005
0,0,0,0.005,0.235,-0.955,0.005
0,0,0,0.005,0.245,-0.955,0.005
0,0,0,0.005,0.255,-0.955,0.005
0,0,0,0.005,0.265,-0.955,0.005
0,0,0,0.005,0.265,-0.945,0.005
0,0,0,0.005,0.275,-0.945,0.005
0,0,0,0.005,0.285,-0.945,0.005
0,0,0,0.005,0.295,-0.945,0.005
0,0,0,0.005,0.305,-0.945,0.005
0,0,0,0.005,0.315,-0.945,0.005
0,0,0,0.005,0.295,-0.875,0.005
0,0,0,0.005,0.305,-0.875,0.005
0,0,0,0.005,0.315,-0.875,0.005
0,0,0,0.005,0.325,-0.945,0.005
0,0,0,0.005,0.335,-0.945,0.005
0,0,0,0.005,0.345,-0.945,0.005
0,0,0,0.005,0.355,-0.945,0.005
0,0,0,0.005,0.365,-0.945,0.005
0,0,0,0.005,0.375,-0.945,0.005
0,0,0,0.005,0.385,-0.945,0.005
0,0,0,0.005,0.395,-0.935,0.005
0,0,0,0.005,0.405,-0.935,0.005
0,0,0,0.005,0.415,-0.935,0.005
0,0,0,0.005,0.425,-0.935,0.005
0,0,0,0.005,0.435,-0.935,0.005
0,0,0,0.005,0.445,-0.935,0.005
0,0,0,0.005,0.455,-0.935,0.005
0,0,0,0.005,0.465,-0.935,0.005
0,0,0,0.005,0.475,-0.935,0.005
0,0,0,0.005,0.325,-0.865,0.005
0,0,0,0.005,0.335,-0.865,0.005
0,0,0,0.005,0.345,-0.865,0.005
0,0,0,0.005,0.355,-0.865,0.005
0,0,0,0.005,0.365,-0.865,0.005
0,0,0,0.005,0.375,-0.865,0.005
0,0,0,0.005,0.385,-0.865,0.005
0,0,0,0.005,0.395,-0.865,0.005
0,0,0,0.005,0.405,-0.865,0.005
0,0,0,0.005,0.415,-0.865,0.005
0,0,0,0.005,0.425,-0.865,0.005
0,0,0,0.005,0.435,-0.865,0.005
0,0,0,0.005,0.445,-0.865,0.005
0,0,0,0.005,0.455,-0.865,0.005
0,0,0,0.005,0.465,-0.855,0.005
0,0,0,0.005,0.475,-0.855,0.005
0,0,0,0.005,0.485,-0.935,0.005
0,0,0,0.005,0.495,-0.935,0.005
0,0,0,0.005,0.505,-0.935,0.005
0,0,0,0.005,0.515,-0.925,0.005
0,0,0,0.005,0.525,-0.925,0.005
0,0,0,0.005,0.535,-0.925,0.005
0,0,0,0.005,0.545,-0.925,0.005
0,0,0,0.005,0.555,-0.925,0.005
0,0,0,0.005,0.565,-0.925,0.005
0,0,0,0.005,0.575,-0.925,0.005
0,0,0,0.005,0.585,-0.925,0.005
0,0,0,0.005,0.595,-0.925,0.005
0,0,0,0.005,0.605,-0.925,0.005
0,0,0,0.005,0.615,-0.925,0.005
0,0,0,0.005,0.625,-0.925,0.005
0,0,0,0.005,0.635,-0.925,0.005
0,0,0,0.005,0.485,-0.855,0.005
0,0,0,0.005,0.495,-0.855,0.005
0,0,0,0.005,0.505,-0.855,0.005
0,0,0,0.005,0.515,-0.855,0.005
0,0,0,0.005,0.525,-0.855,0.005
0,0,0,0.005,0.535,-0.855,0.005
0,0,0,0.005,0.545,-0.855,0.005
0,0,0,0.005,0.555,-0.855,0.005
0,0,0,0.005,0.565,-0.855,0.005
0,0,0,0.005,0.575,-0.855,0.005
0,0,0,0.005,0.585,-0.855,0.005
0,0,0,0.005,0.595,-0.845,0.005
0,0,0,0.005,0.605,-0.845,0.005
0,0,0,0.005,0.615,-0.845,0.005
0,0,0,0.005,0.625,-0.845,0.005
0,0,0,0.005,0.635,-0.845,0.005
0,0,0,0.005,0.355,-0.795,0.005
0,0,0,0.005,0.365,-0.795,0.005
0,0,0,0.005,0.375,-0.795,0.005
0,0,0,0.005,0.385,-0.795,0.005
0,0,0,0.005,0.395,-0.795,0.005
0,0,0,0.005,0.405,-0.795,0.005
0,0,0,0.005,0.415,-0.795,0.005
0,0,0,0.005,0.425,-0.795,0.005
0,0,0,0.005,0.435,-0.795,0.005
0,0,0,0.005,0.445,-0.795,0.005
0,0,0,0.005,0.455,-0.795,0.005
0,0,0,0.005,0.465,-0.795,0.005
0,0,0,0.005,0.465,-0.785,0.005
0,0,0,0.005,0.475,-0.785,0.005
0,0,0,0.005,0.405,-0.725,0.005
0,0,0,0.005,0.415,-0.725,0.005
0,0,0,0.005,0.425,-0.725,0.005
0,0,0,0.005,0.435,-0.725,0.005
0,0,0,0.005,0.445,-0.725,0.005
0,0,0,0.005,0.455,-0.725,0.005
0,0,0,0.005,0.465,-0.725,0.005
0,0,0,0.005,0.475,-0.725,0.005
0,0,0,0.005,0.455,-0.655,0.005
0,0,0,0.005,0.465,-0.655,0.005
0,0,0,0.005,0.475,-0.655,0.005
0,0,0,0.005,0.485,-0.785,0.005
0,0,0,0.005,0.495,-0.785,0.005
0,0,0,0.005,0.505,-0.785,0.005
0,0,0,0.005,0.515,-0.785,0.005
0,0,0,0.005,0.525,-0.785,0.005
0,0,0,0.005,0.535,-0.785,0.005
0,0,0,0.005,0.545,-0.785,0.005
0,0,0,0.005,0.555,-0.785,0.005
0,0,0,0.005,0.485,-0.725,0.005
0,0,0,0.005,0.495,-0.725,0.005
0,0,0,0.005,0.565,-0.785,0.005
0,0,0,0.005,0.575,-0.785,0.005
0,0,0,0.005,0.585,-0.785,0.005
0,0,0,0.005,0.595,-0.785,0.005
0,0,0,0.005,0.605,-0.785,0.005
0,0,0,0.005,0.615,-0.785,0.005
0,0,0,0.005,0.615,-0.775,0.005
0,0,0,0.005,0.625,-0.775,0.005
0,0,0,0.005,0.635,-0.775,0.005
0,0,0,0.005,0.505,-0.715,0.005
0,0,0,0.005,0.515,-0.715,0.005
0,0,0,0.005,0.525,-0.715,0.005
0,0,0,0.005,0.535,-0.715,0.005
0,0,0,0.005,0.545,-0.715,0.005
