"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,-0.005,2.115,-0.775,-0.005
0,0,0,-0.005,2.085,-0.725,-0.005
0,0,0,-0.005,2.115,-0.715,-0.005
0,0,0,-0.005,1.915,-0.395,-0.005
0,0,0,-0.005,1.915,-0.135,-0.005
0,0,0,-0.005,1.905,-0.085,-0.005
0,0,0,-0.005,1.905,-0.035,-0.005
0,0,0,-0.005,1.985,-0.555,-0.005
0,0,0,-0.005,1.955,-0.505,-0.005
0,0,0,-0.005,1.995,-0.495,-0.005
0,0,0,-0.005,2.015,-0.555,-0.005
0,0,0,-0.005,2.045,-0.545,-0.005
0,0,0,-0.005,2.025,-0.495,-0.005
0,0,0,-0.005,2.075,-0.495,-0.005
0,0,0,-0.005,2.105,-0.495,-0.005
0,0,0,-0.005,2.125,-0.495,-0.005
0,0,0,-0.005,1.935,-0.445,-0.005
0,0,0,-0.005,1.965,-0.445,-0.005
0,0,0,-0.005,1.995,-0.445,-0.005
0,0,0,-0.005,2.045,-0.445,-0.005
0,0,0,-0.005,2.085,-0.435,-0.005
0,0,0,-0.005,2.105,-0.435,-0.005
0,0,0,-0.005,2.055,-0.185,-0.005
0,0,0,-0.005,2.075,-0.185,-0.005
0,0,0,-0.005,2.085,-0.185,-0.005
0,0,0,-0.005,1.955,-0.135,-0.005
0,0,0,-0.005,1.995,-0.135,-0.005
0,0,0,-0.005,1.955,-0.085,-0.005
0,0,0,-0.005,1.985,-0.085,-0.005
0,0,0,-0.005,2.005,-0.135,-0.005
0,0,0,-0.005,2.045,-0.125,-0.005
0,0,0,-0.005,2.065,-0.125,-0.005
0,0,0,-0.005,2.075,-0.125,-0.005
0,0,0,-0.005,2.005,-0.085,-0.005
0,0,0,-0.005,2.035,-0.085,-0.005
0,0,0,-0.005,2.055,-0.085,-0.005
0,0,0,-0.005,2.075,-0.085,-0.005
0,0,0,-0.005,1.955,-0.035,-0.005
0,0,0,-0.005,1.985,-0.035,-0.005
0,0,0,-0.005,2.005,-0.035,-0.005
0,0,0,-0.005,2.035,-0.035,-0.005
0,0,0,-0.005,2.055,-0.035,-0.005
0,0,0,-0.005,2.065,-0.035,-0.005
0,0,0,-0.005,2.135,-0.125,-0.005
0,0,0,-0.005,2.125,-0.085,-0.005
0,0,0,-0.005,2.125,-0.035,-0.005
0,0,0,-0.005,0.545,0.235,-0.005
0,0,0,-0.005,0.555,0.235,-0.005
0,0,0,-0.005,0.575,0.235,-0.005
0,0,0,-0.005,0.585,0.235,-0.005
0,0,0,-0.005,0.615,0.235,-0.005
0,0,0,-0.005,0.625,0.235,-0.005
0,0,0,-0.005,0.635,0.235,-0.005
0,0,0,-0.005,0.645,0.235,-0.005
0,0,0,-0.005,0.705,0.235,-0.005
0,0,0,-0.005,0.715,0.235,-0.005
0,0,0,-0.005,1.905,0.015,-0.005
0,0,0,-0.005,1.905,0.065,-0.005
0,0,0,-0.005,1.905,0.115,-0.005
0,0,0,-0.005,1.895,0.155,-0.005
0,0,0,-0.005,1.915,0.155,-0.005
0,0,0,-0.005,1.955,0.015,-0.005
0,0,0,-0.005,1.985,0.015,-0.005
0,0,0,-0.005,1.955,0.065,-0.005
0,0,0,-0.005,1.985,0.065,-0.005
0,0,0,-0.005,2.005,0.015,-0.005
0,0,0,-0.005,2.035,0.015,-0.005
0,0,0,-0.005,2.055,0.015,-0.005
0,0,0,-0.005,2.065,0.015,-0.005
0,0,0,-0.005,2.005,0.065,-0.005
0,0,0,-0.005,2.035,0.065,-0.005
0,0,0,-0.005,2.055,0.065,-0.005
0,0,0,-0.005,2.075,0.065,-0.005
0,0,0,-0.005,1.955,0.115,-0.005
0,0,0,-0.005,1.995,0.115,-0.005
0,0,0,-0.005,1.935,0.155,-0.005
0,0,0,-0.005,1.945,0.155,-0.005
0,0,0,-0.005,1.965,0.155,-0.005
0,0,0,-0.005,1.975,0.155,-0.005
0,0,0,-0.005,1.995,0.155,-0.005
0,0,0,-0.005,2.005,0.115,-0.005
0,0,0,-0.005,2.045,0.115,-0.005
0,0,0,-0.005,2.055,0.115,-0.005
0,0,0,-0.005,2.075,0.115,-0.005
0,0,0,-0.005,2.015,0.155,-0.005
0,0,0,-0.005,2.035,0.155,-0.005
0,0,0,-0.005,2.045,0.155,-0.005
0,0,0,-0.005,2.065,0.155,-0.005
0,0,0,-0.005,2.125,0.015,-0.005
0,0,0,-0.005,2.125,0.065,-0.005
0,0,0,-0.005,2.135,0.115,-0.005
0,0,0,-0.005,2.085,0.155,-0.005
0,0,0,-0.005,2.115,0.145,-0.005
0,0,0,-0.005,2.105,0.155,-0.005
0,0,0,-0.005,1.975,0.205,-0.005
0,0,0,-0.005,1.985,0.205,-0.005
0,0,0,-0.005,2.005,0.205,-0.005
0,0,0,-0.005,2.025,0.205,-0.005
0,0,0,-0.005,2.045,0.205,-0.005
0,0,0,-0.005,2.055,0.205,-0.005
0,0,0,-0.005,2.075,0.205,-0.005
0,0,0,-0.005,2.095,0.205,-0.005
0,0,0,-0.005,2.115,0.205,-0.005
0,0,0,-0.005,2.125,0.205,-0.005
0,0,0,-0.005,1.955,0.495,-0.005
0,0,0,-0.005,1.985,0.495,-0.005
0,0,0,-0.005,1.985,0.555,-0.005
0,0,0,-0.005,2.015,0.545,-0.005
0,0,0,-0.005,2.045,0.545,-0.005
0,0,0,-0.005,2.075,0.595,-0.005
0,0,0,-0.005,2.005,0.605,-0.005
0,0,0,-0.005,2.045,0.605,-0.005
0,0,0,-0.005,2.045,0.655,-0.005
0,0,0,-0.005,2.075,0.655,-0.005
0,0,0,-0.005,2.075,0.715,-0.005
0,0,0,-0.005,2.105,0.655,-0.005
0,0,0,-0.005,2.115,0.715,-0.005
0,0,0,-0.005,2.115,0.785,-0.005
0,0,0,-0.005,1.925,0.935,-0.005
0,0,0,-0.005,1.935,0.935,-0.005
0,0,0,-0.005,1.955,0.935,-0.005
0,0,0,-0.005,1.965,0.935,-0.005
0,0,0,-0.005,1.985,0.935,-0.005
0,0,0,-0.005,1.995,0.935,-0.005
0,0,0,-0.005,2.015,0.925,-0.005
0,0,0,-0.005,2.025,0.925,-0.005
0,0,0,-0.005,2.045,0.925,-0.005
0,0,0,-0.005,2.095,0.925,-0.005
0,0,0,-0.005,2.105,0.925,-0.005
0,0,0,0.005,0.195,-0.995,0.005
0,0,0,0.005,0.205,-0.995,0.005
0,0,0,0.005,0.215,-0.995,0.005
0,0,0,0.005,0.225,-0.995,0.005
0,0,0,0.005,0.235,-0.995,0.005
0,0,0,0.005,0.245,-0.995,0.005
0,0,0,0.005,0.255,-0.995,0.005
0,0,0,0.005,0.265,-0.995,0.005
0,0,0,0.005,0.275,-0.985,0.005
0,0,0,0.005,0.285,-0.985,0.005
0,0,0,0.005,0.295,-0.985,0.005
0,0,0,0.005,0.305,-0.985,0.005
0,0,0,0.005,0.315,-0.985,0.005
0,0,0,0.005,0.325,-0.985,0.005
0,0,0,0.005,0.335,-0.985,0.005
0,0,0,0.005,0.345,-0.985,0.005
0,0,0,0.005,0.355,-0.985,0.005
0,0,0,0.005,0.365,-0.985,0.005
0,0,0,0.005,0.375,-0.985,0.005
0,0,0,0.005,0.385,-0.985,0.005
0,0,0,0.005,0.395,-0.975,0.005
0,0,0,0.005,0.405,-0.975,0.005
0,0,0,0.005,0.415,-0.975,0.005
0,0,0,0.005,0.425,-0.975,0.005
0,0,0,0.005,0.435,-0.975,0.005
0,0,0,0.005,0.445,-0.975,0.005
0,0,0,0.005,0.455,-0.975,0.005
0,0,0,0.005,0.465,-0.975,0.005
0,0,0,0.005,0.475,-0.975,0.005
0,0,0,0.005,0.485,-0.975,0.005
0,0,0,0.005,0.495,-0.975,0.005
