UTIME,AFFORDANCE_PLUS_BASE_OVERWRITE0,AFFORDANCE_PLUS_BOT_OVERWRITE1,CAMERALEFT_TX0,CAMERA_LHANDLEFT_TX0,CAMERA_RHANDLEFT_TX0,COMMITTED_FOOTSTEP_PLAN1,COMMITTED_GRASP_SEED1,COMMITTED_ROBOT_PLAN1,CONTROLLER_STATUS0,DATA_REQUEST1,DESIRED_NECK_PITCH1,DRC_DRIVING_CONTROL_STATUS0,DRIVING_CONTROLLER_COMMAND1,DRIVING_CONTROLLER_COMMAND_VALUES0,EST_ROBOT_STATE0,FREQUENCY_LCM0,GAZE_COMMAND1,MAP_CATALOG0,MAP_CLOUD0,MAP_COMMAND1,MAP_DEPTH0,MAP_MACRO1,MAP_OCTREE0,MAP_REQUEST1,NAV_GOAL_TIMED1,OBJECT_BEARING0,PMD_INFO0,PMD_ORDERS1,ROBOT_UTIME0,SENSOR_REQUEST1,SYSTEM_STATUS0,TLD_OBJECT_ROI1,TLD_OBJECT_ROI_RESULT0,TRACKER_COMMAND1,VRC_SCORE0
1369883375325799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16430,0,0,0,0,0,0,0,0
1369883376325875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32860,0,0,0,0,0,0,0,0
1369883377325629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49290,0,0,0,0,0,0,0,0
1369883378325341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65720,13600,0,0,0,0,0,0,0
1369883379325667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65720,14206,0,0,0,0,0,0,0
1369883380326018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65736,14206,0,0,0,0,0,0,0
1369883381325384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65736,14206,0,0,0,0,0,0,0
1369883382325957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65736,14206,0,0,0,0,0,0,0
1369883383324992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65992,14222,0,0,0,0,0,0,0
1369883384325169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66008,14222,0,0,0,0,0,0,0
1369883385325422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66008,14222,0,0,0,0,0,0,0
1369883386325094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66008,14222,0,0,0,0,0,0,0
1369883387325991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66008,14222,0,0,0,0,0,0,0
1369883388324910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66008,14222,0,0,0,0,0,0,0
1369883389325199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66024,14222,0,0,0,0,0,0,0
1369883390325533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66024,14222,0,0,0,0,0,0,0
1369883391326085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66024,14222,0,0,0,0,0,0,0
1369883392325819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66024,14222,0,0,0,0,0,0,0
1369883393325447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66024,14222,0,0,0,0,0,0,0
1369883394325736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66056,14832,0,0,0,0,0,0,0
